Username,Review,Rating
M. Barr,"I got these as a backup to my Sony Sony WF-1000XM4 noise-cancelling in-ear headphones so that's my point of comparison.I bought these on sale for $99, and, IMO, that was still too expensive. I think these are worth ~$60. The sound quality is fine, but they have disappointingly short battery life, connection quality, noise-cancelling, and noise-transparency.My main in-ear headphones are the Sony model, which is almost twice as expensive but I would say they are a 4x or 5x better value. It is sad how poorly these buds perform noise cancelling or noise transparency compared to the Sony buds. Also, if there's no sound on these buds for more than a minute, they will drop the beginning of sound from the next thing that plays. This is extremely annoying while you're doing something like duolingo or playing a game.I've owned a number of different Bluetooth audio devices from many price ranges and this pair is just not well situated for it's quality/features vs price. Skip entirely and don't even think about buying them for full price.",1.0 out of 5 stars
Linda Caballero,"HONESTLY not worth the hype or price. I've had issues with it since I first bought it. (Pink beats) I've now had them for 2 months.....The  beats company has yet to reach out about my warranty, I've reached out twice and no response ... I bought it when it was on sale ($100) so Amazon won't give me an exchange or replacement, because of the price difference ($160 regularly). The sound quality is ""just okay, not amazing"" I did like the noise cancelling feature. HOWEVER, it drains your battery (which doesn't hold 8 hours per bud (as advertised), but more like 3-4hours-on normal mode and doesn't last longer than 2-3 hours on noise cancelling mode..low battery life.) I bought some cheap headphones from Amazon a while back that we're $25, they hold 12 hour charge per bud.... These will not last you 24 hours. I don't know why these are considered some of the best headphones on the market. These crackle as soon as you are more than 5 feet away from them. They also disconnect out of nowhere randomly. I do not recommend these they are pretty bad quality. My son got a pair too (red) and his have static at random times. Overall, bad product. I do not recommend them, spend your $ on another brand these are not worth it. It really was a disappointment. DO NOT BELIEVE THE HYPE!!!!",1.0 out of 5 stars
Lavina R.,"These are not worth your money!! If you want an inexpensive great sounding earbuds I recommend the Sony earbuds line up. I bought some for $99 and they were 3x better than these beats. I only bought these cuz I thought these would be an upgrade. They look good but once they go in your ears it’s all downhill. The fit feels awkward not like other earbuds but I was willing to look past that. I turned on the music and was dissatisfied immediately. They have ZERO base I tried to go to settings and adjust the equalizer but turning base up just made it sound like white noise every time the base hit. The treble was horrible too. It was so nauseating and I could not fix it. It was giving the worst headache because of the high pitch frequency. I’m not exaggerating when I’m saying it gave me the worst headache. I gave it about an hour before I couldn’t stand the noise. Please buy from Sony or skull candy or even AirPods, they always have great quality.Update : if you bought these and have an iPhone I recommend buying the AirPods gen 2 pros , thats what I went with and man oh man for a $50 difference they are amazing, all the features the AirPods have and the sound are worth every dolla !!",1.0 out of 5 stars
Holly Montgomery Music,"I’ve had these for about four days now and they’re driving me crazy. I’ve tried every size of the earpiece that goes in my ear, and yet they fall out constantly. If I barely tilt my head, they fall out. But the worst part is that for the first day or two, it sounded like I was listening to an a.m. or transistor radio. I kept looking for settings on my phone to better the sound quality, but nothing helped. Then, after having one of them fall out yet again, I crammed it as hard as I could, very painfully into my ear - and the sound was better! But I only get decent sound if I physically hold and smash them as painfully hard as I can into my ear. I keep thinking I must be doing something wrong, but surely it shouldn’t be this difficult to figure out how to get AirPods to stay in your ears for any reasonable amount of time without having to painfully press and hold them in with my fingers.Oh, and also, brand new, a full charge only lasted about 2-1/2 hours. I bought them for a flight from DC to LA, and the batteries had already run out by the time I got past Tennessee!Am I the only one? I don’t understand all the good reviews.",1.0 out of 5 stars
Nate L,"TLDR; they only connect to the phone the first time 50% of the time. I am running the latest iOS and it just doesn’t work. It will show as connected, but cannot be used as an audio device. This has been an issue from day 1, but for me it’s not worth an extra $150 to get a better solution. But it’s annoying at least 1 time every day I use them. It’s functionally a broken product.As a less expensive AirPods/AirPods Pro alternative they work okay. The ANC isn’t bad but it has more ANC pressure than AirPods Pro (I had some that broke). Fit is good, not going to fly out of the ear. No, it doesn’t pause music when you take an earbud out. The buttons get pressed accidentally when adjusting. Reasonable audio quality.Con:The major problem is connecting. Like AirPods you open the case and it goes through auto pairing/waking up. It doesn’t work 50% of the time to connect it as an audio device. I am running the latest iOS this shouldn’t be happening, but it is, I just don’t have $150 extra to buy a functional product. It will be connected but won’t play through the ear phones. It will take 2-3 connection attempts before it will work as it should. It has been like this from day 1 and my gf who has a pair too, says she has the exact same issue. Go buy the Sonys, Bose or the AirPods Pro if you can get them, avoid these. Also you cannot just have one in the ear and one in the case. It just won’t let you. It’s better than nothing, but it’s not good. They also now randomly disconnect if audio is paused to a couple minutes.",1.0 out of 5 stars
The Neurotheologian,"This is so disappointing.  When the buds arrived, the case had enough charge to allow me to pair them with my phone.  In order to do any Bluetooth pairings, you have to have the buds in the case with the lid open, and the case has to have a charge.  The case has a built-in battery that you can use to recharge the buds several times before the whole setup has to be recharged.  In this case, the charge on the case gradually drained and I have never been able to get it to recharge.  The odd thing is that the buds will charge in the case when it's plugged in, but the case itself will not take a charge.  As you can see in the photo, the buds are at 100% charge while the case is at 0% charge.The buds come with a really short (think six inches) charging cord with USB-C on each end, but no power adapter.  I tried multiple USB-C power adapters that I already had, and even bought a new one (ensuring I got a 30W model), but the case will not take any charge whatsoever.  So, now I have to return the whole mess.Other than that, the sound is pretty good, the ear fit is mediocre and they WILL fall out if you're moving around, and the app is a joke.  The app has no equalizer or sound shaping, and the micro-function buttons on the pods themselves let you play/pause, skip forward, or skip back.  Press and HOLD the button?  That turns noise cancellation on/off/transparent.  Or, you can use the app to reprogram the buttons so that, instead of manipulating the noise cancellation, they activate the ""Voice Assistant.""Phone calls are difficult and the mic quality is very poor, but I bought these mostly for playing music so I quit screwing around with the phone call abilities as soon as I discovered that nobody could hear me clearly.  UGH - so disappointing.",1.0 out of 5 stars
Daniel Jenkins,I have a $20 set of earbuds that are a thousand times better than these things. The battery on the case doesn’t last much more than a day. The case for my cheap pair can literally go weeks. The same with the earbuds themselves. They have a garbage battery life of just a few hours so you pretty much need to alternate between the left and the right ear if you want to use them for any significant amount of time. Otherwise you’ll get a few hours of time out of them then you’ll have to take them out of your ears for a few hours to charge them back up. And you better hope your close to an outlet because chances are the stupid case is going to be dead. The sound quality is average at best and that’s only when they aren’t falling out of your ears. This is easily the most money I haze ever spent for a heaping pile of garbage. Awful! Awful earbuds!,1.0 out of 5 stars
Remey,"ATTENTION: My 1 star review is only to call attention to the selling condition and warranty of the product.I purchased a pair of these Wed 11/2/22 (received Thu 11/3/22) and I paired them and looked at the settings and product numbers. I noticed that the warranty coverage did not cover the full year; in fact 4 months of coverage was missing. So I contacted Apple Support and Amazon Support and both agreed that it was unusual for a “new” product and that it should be a year from purchase.As Apple wasn’t able to do much on their end regarding coverage on an already active product. The end result was to send the earbuds back for a ‘new’-“new” pair. They arrived today (11/4/22) and I repeated the process of pairing and looking everything over. There is still an issue with the coverage; it’s missing 9 days. That’s unacceptable for a product that is being sold and shipped by Amazon listed as ‘new’ yet having evidence of previous activity. That is not a new product by that definition, it is technically refurbished.While I have chosen not to repeat the process a 3rd time as 9 days is much less missing time then 4 months. I am not entirely satisfied because no time should be missing and a product listed and sold as new should be just that in its entirety. I am extremely disappointed with Amazon over the lack of transparency and honesty. So to any people who have purchased this product ‘new’ from Amazon recently, make sure you check the warranty coverage.",1.0 out of 5 stars
Will S.,I believe this item was refurbished and they did not  even do good job of doing so ! I probably could of done a much better job with a blindfold on and I would not lie to you about selling a product that was refurbished but then again I was not raised to have shiest of a soul that takes advantage of the everyday average consumer but then again I am not your everyday average person so this is for the underdog ! The person who so willfully goes on line in good faith looking to save a few dollars or get a deal using their hard earned dollars to find a deal only to find they have been bamboozled out of that dollar and their wallets emptied defunded with a product that was supposed to come as advertised new ! What disgrace what a sham  that these  even when Apple sells you a refurbished item there is a tiny disclaimer stating that the item was slightly used ! With that being said hold on to your wallets spending an extra 50 bucks to receive what you paid verses what you thought you were going to get is not worth the savings especially when defunding your wallets is all them came to do and give you not a new product but a refurbished one that they did a sheist of job to begin with ! Well Anyhoo like I said worth spending the extra 50 bucks at Best Buy when on sale with Amazon who knows what you will get but don’t get upset if you buy this product because it is never about the underdog it always about who is going to get over ! Quality over quantity is what I say I would rather have 5 good shoes then a 100 refurbished ones that fall apart at them seems the moment you buy them but that’s just me !,1.0 out of 5 stars
Joshua Graham,"I owned these less than 12 hours before returning them. Here are all the issues I’ve encountered so far:Bluetooth disconnects intermittently while using.Switching from car audio to earbuds causes a loud shriek in your ear.Earbuds don’t stay in your ears while working at your desk. Don’t even think about trying to run with them.Adjusting the earbuds or wearing a beanie to stop them from falling out causes songs to change, pause, or rewind.Sound quality is tinny and could use some work.These buds stick so far out of your ear you’ll look like shrek.Despite being 70% charged, they died after 2 hours.Save yourself the hassle and money.",1.0 out of 5 stars
Colton,"I love the product. I had a pair previously that I used daily. Great battery life. Noise cancelling is top notch. Very comfortable in the ear over long periods of time.My issue is with the shipping. This is the second pair I ordered after losing my first pair. I ordered same day delivery on Friday 1/20. I didn't receive the product that day, no big deal, hopefully I get it over the weekend. The next morning it said my package was out for delivery at 3:24 AM and arrived at my apartment on Saturday 1/21 around 5:30 AM. I live in an apartment with a dedicated mail room where packages are left in lockers and we have qr codes to go unlock it, only this time the delivery note says it was left on or near my porch (which I dont have in an apartment complex.)I requested a refund since I never received my product, despite the tracking saying it was delivered. I was told by three separate Amazon employees through the customer service chat that they would refund my order and I would see the funds in 3-5 days. That never happened. I followed up today and got in contact with the leadership team. They told me it was delivered and they can't do anything about it. The next piece of advice they gave to resolve this was to ""file a police report"".Very upset with how they have handled this. I have been ripped off for roughly $175. No product to show for it and no help from the Amazon team. Very unprofessional when it comes to customer service.",1.0 out of 5 stars
Joshua Blair,"These headphones have so many issues that it's insulting.Unable to Connect - They never connect automatically with iPhone like they are supposed to. Every connection demands a ""Forget this device"" and hard reset of the headphones in their case. I have had better headphone connectivity with the cheap gas station earbuds I bought for $20...it can't be that hard to figure out how to automatically connect. I have had these headphones for four weeks now, and even as my phone updates and the headphones ""update via bluetooth"" (I'm extremely skeptical they do) the earbuds continue to be nothing more than a nuisance with the beats logo on the side.Noise Cancelling - More like noise slightly reducing. It should be illegal for them to call anything noise cancelling because its obvious they have no idea what that means. If you want noise cancelling headphones, these are not it.Siri is always listening - Even when it is completely disabled on my phone. I shouldn't have to worry about my headphones making random calls every time it thinks I said ""Hey Siri"" when someone who walks by says something with literally any word that starts with an S.Battery Life - Weak. Just so weak.I used love beats. I've had beats for years, but these are a complete waste. I'm going back to the old Powerbeats. I feel bad for the people who designed the look and feel of these, they did a wonderful job. It's too bad the rest of the lot couldn't figure out how headphones work. Maybe they should give Sony a call.",1.0 out of 5 stars
Chris,"The brand name is Beats, and with a 40% discount for Black Friday, I still regret my purchase. When I first connected the earphones, they rarely paired instantly with my phone. The major issue is frequent disconnections. At its worst, the sound cuts off about every 10 seconds, making it unbearable. I have never watched a 10-minute video without interruptions, and it bothers me to the point where I'd rather watch videos without the earphones. The same goes for listening to music. Even with 3-4 minute songs, I've never experienced uninterrupted playback. If you use an iPhone, I strongly recommend investing an additional 50 dollars to get AirPods, as the connectivity issues can be frustrating with Beats.",1.0 out of 5 stars
SDC Assistant,"Honestly so annoyed and disappointed in this product. It wasnt a small amount of cash for me and I really wanted to invest in a decent pair but stick within my budget. I should have just saved more and spent the extra to be honest. The sound is great and noise cancelling is fair BUT I can't use them at all because they will not stay in my ear at all, what the heck! That's the least I would ask for at this price point! Did this product not get tested for that!? I have tried every different ear pad they gave and it makes no difference. Even sitting still they kept coming out and then you are constantly pushing them back in which is just irritating and defeats the whole point. I stupidly did not listen to the reviews and should have as it seems many have this issue. I also tried to give them more time to work so now can't return them and are stuck with a useless pair of earbuds I will can never use.*** UPDATE: Hoping others find this tip useful, so I experiemented and had some extra eartips left over from another pair of headphones (a chorded cheap pair) and decided to try them on these to see if it would be better. And guess what, they are far better! So has very much improved the ability for them to actually stay in my ear. Now it's not one hundred percent, they still slip out a little occassionally, but still much better than with the ones beats provided to the point I can actually use them now without 100 percent annoyance. So my suggestion is if stuck these like I am now, try to put other brand eartips on to see if it helps! You can buy a pack super cheap on amazon of various ones.",1.0 out of 5 stars
booklover68,I wanted a cheaper of pair ear pods for travel.  I bought these during prime week.  I can definitively say that the Beat Studio Buds  can not compare to the performance of AirPod Pros (2022).  I can accept that because as I stated I bough them for travel and the gym.  The real problem is that they don’t stay in my ear.  Even sitting down and doing nothing they keep falling out.  The minute I out them in they start slipping out of my ear.  It’s beyond frustrating any annoying.  I basically threw $80 plus down the drain.,1.0 out of 5 stars
TFIOS,"I got these thinking they were going to be worth the purchase, I was very wrong. The fit is very uncomfortable, the sound quality is okay. As nice as they looked and easy to connect as they seemed that was all it had going for them. My battery for both the earbuds and charger barely lasted an hour. Then the sound itself would disconnect a million times or the sound would just randomly go out. Very frustrating when I’m trying to study or do something and am just spending the majority of the time configuring them. Definitely not worth the purchase or the rave.",1.0 out of 5 stars
Amazon Customer,"Buy Google pods instead... These are expensive garbage. See below for details on why.Beats was purchased by Apple then support and warranty was gutted, there is no support for these hardware or software wise outside of apple care.Hardware (0/5 stars): They don't retain charge, the pods themselves won't charge. OEM requires $70 to fix a single bud power issue or a case power issue.Software (0/5 stars): They demand you download the app then link to an email (probably to avoid 3rd parties refurbishing). The software provides no added feature other than being Bluetooth bloatware.",1.0 out of 5 stars
Dave U,"I really wanted and expected to like these, but it was nothing but disappointment in every way. Pulling them from the case took quite a tug, and the tips you pull on are slippery, so when you start to get release, they slip and snap right back in. Then, couldn't get them to pair! The most basic of steps. They even have step by step guide in iOS pop up automatically. And I've paired at least 200 devices in my day and even own the similar AirPods Pro. But these absolutely wouldn't pair to my phone or computer. It would try, then it would say ""Connection Failed."" It did manage to briefly pair with my daughter's iPod so we could try it out. There was nearly no difference whatsoever in Noise cancellation on, off, and transparency mode—which was shocking to say the least. But that could have been because it kept unpairing itself and making beeps as it tried and failed, so maybe the ANC was never on long enough to register. For the few seconds we had it, the sound was... fine. But then after moderate iPod success, I tried again to pair with my phone, but it wanted the iPod only now. So I had to make the iPod ""Forget Device"" and try again. Then, again, it wouldn't pair with anything at all. It would spring up asking to pair, but then it would fail every time. At a certain point, all of that hope and enthusiasm turned into ""Even if I get it to work at some point... do I want to live with this?"" No. No I do not. Life is too short for these to take up my time and sanity.",1.0 out of 5 stars
<3,"I don't know if I got stuck with a bad pair, but the sound quality is so bad. The music sounds tinny and echoey. The noise cancellation is not the best, it definitely works if you have nothing else, but this only highlights the terrible sound quality. I was looking forward to using these as replacements for my dying Airpods but they didn't even come close, it was extremely disappointing. To really describe how bad the sound is: the music sounds far away and like it's coming from a tunnel or metallic room, and they crackle when the pitch gets too high. If you're looking for something cute then yeah these work, but I wouldn't recommend them even to casual music listeners or as a replacement for good earphones like AirPods or wired earphones you can get for cheap. Considering the price, I would recommend going in person to test earphones or stick to a product you already know and avoid these.",1.0 out of 5 stars
