Username,Review,Rating
manito,The instructions included were useless for this 77 year old. There were no left-right indicators. I could not get them to work.,1.0 out of 5 stars
Laura L,"Terrible compatibility with laptops and any non apple bluetooth device (gaming systems, etc). Returning them immediately and purchasing a different company's product. Apple stop being a terrible company and designing your products for only other apple products.",1.0 out of 5 stars
Amazon Customer,I bought these less than a month ago and only used them a few times and now they don’t turn on or charge,1.0 out of 5 stars
Laney,The airpods came sealed in the box yet somehow they are clearly not new. I tried connecting find my iphone and it gave me this notification. I cannot even disconnect them myself and have no way to get in contact with the previous owner since I do not know who they even are.,1.0 out of 5 stars
MacDog157,"They are great when they work but should e considered disposable. Alternatively, my 10 year old bose still work fine.",1.0 out of 5 stars
Varun sure,"I got a used airpods. Box looks soiled and used, no plastic cover on top.Product description said new",1.0 out of 5 stars
Ric Watford,Package was sealed but ear pods were dirty as if they had been worn. Not happy!!,1.0 out of 5 stars
K,"The box arrived opened, and the AirPods box inside was also open with the AirPods missing.",1.0 out of 5 stars
Brian,"Will not stay in ears, you have to buy additional accessories to have it stay in the ear.",1.0 out of 5 stars
Sad,They are on sale for 189.00I paid 250 plus the extended warrantyNot worth it,1.0 out of 5 stars
Bishop,When I took the delivery from the driver the AirPod box had already been opened and the AirPods where missing. The delivery box had never been opened.,1.0 out of 5 stars
Angel,Left AirPod has a constant hissing noise and I was told I wouldn’t be able to exchange the AirPods even though I bought it last week,1.0 out of 5 stars
Mc,These are not worth the money. It disconnects randomly and they don’t connect to non Apple devices. Tried yo return and they won’t refund. Waste of money,1.0 out of 5 stars
Dan  Bria,My box came unsealed and the air buds and case were both missing.,1.0 out of 5 stars
Symone krause,The box was dirty and when I tried them they were scratchy like they’ve been used a lot,1.0 out of 5 stars
Martha fausto,"The media could not be loaded.
                



 La primera vez que los ordené no eran los que decía la aplicación eran diferentes y esta vez si son los correctos están muy bien  sin problemas alguno 10 de 10",1.0 out of 5 stars
cody,Did not revive usb c port charging case,1.0 out of 5 stars
Sarah Leahy,Did not charge to 100% never got above 34%,1.0 out of 5 stars
Hamido,I don’t like it at all,1.0 out of 5 stars
Whitey,Earbuds do not fit all ears .,1.0 out of 5 stars
"Yea when I opened my package the box for the airpods we’re already opened and the airpods weren’t even in there, don’t bother ordering it was a ripoff.","I didn’t like anything about it, I was ripped off from this purchase",1.0 out of 5 stars
Ced,Beware sent used item and return is a headache also if you bought AppleCare you may not get a refund.,1.0 out of 5 stars
Abdullah,I received a used lightning airpod product.,1.0 out of 5 stars
Danielle Grigsby,"Product seal was broken upon arrival. Item was listed as new, but they arrived opened.",1.0 out of 5 stars
timmyturner,"The media could not be loaded.
                



 ordered LIKE NEW / Mint Condition. I instead got a Renewed WITH A STRAND OF HAIR stuck to the ear bud rubber.",1.0 out of 5 stars
Patty,"Came with box food stains on it, looked opened.retured it almost a month ,still haven’t received refund…",1.0 out of 5 stars
Just-a-person-who-cares,"Did you know that is very bad to use ear buds, you should try headphones instead.",1.0 out of 5 stars
McLuvin,"Listed as new, but are in fact, used in very good condition.",1.0 out of 5 stars
Alex Ku,,1.0 out of 5 stars
Hq,There will be sudden noise when switching app. OH MY GOSH!,1.0 out of 5 stars
Adan Aguilera,Totalmente una basura👎🏻,1.0 out of 5 stars
JT,These are not new and you cannot enable them for Find My device.,1.0 out of 5 stars
Chemitha Minor,The iPods won’t hold charge,1.0 out of 5 stars
Nelson R.,Customer services sucks -,1.0 out of 5 stars
Wenzhuo Lin,Only one earbud work well for noise cancelling.,1.0 out of 5 stars
jonah,That the product doesnt work,1.0 out of 5 stars
James,"Great product, garbage customer service.",1.0 out of 5 stars
Mina,"Absolute terrible product from Apple. From the first day, there was issues with the headphones, after a while I took it to the apple store and they said there was a quality control issue and they changed it for free. I presumed since they knew about the issue, this one would be fine. So I just tolerated the terrible quality and headaches. Now I just took it to the store again and they said that again there was a problem with the product from the factory, but this time they asked for 190 dollars to replace it with the working product. Issues with the product from factory could happen occasionally. You do a recall and fix it. But the fact that they replaced the faulty product with another faulty product, probably knowingly, is absolutely frustrating. Apple is getting too good at ripping people off.",1.0 out of 5 stars
Meghan,"I used to love these but one of my AirPods recently developed an awful/loud buzzing. I contacted support and tried several things. Apple knows their AirPods Pro’s can develop a buzzing sound in noise cancellation or transparency mode. They even had a program to fix this issue outside of warranty, which they did for my husband. I bought my AirPods within one week of him, but my buzzing issue started a few months later. Now the program is defunct and Apple has the audacity to charge $250 to repair their faulty earbuds, which originally cost me $250 to purchase (and now can be purchased for $190)! I’m literally disgusted with that last bit. It’s shameful. I would recommend investing in something with more longevity.",1.0 out of 5 stars
stevethrewup,"These sound great.  They work like garbage.  Almost every day I open the case, put them on, and then find out that one or both of the airpods didn't charge.  I've tried various ways to reset and re-pair them with my phone but the issue remains.  The only real fix is the clean ALL of the contacts with alcohol almost every other day.  I spent at least a few hours on the phone with Apple Care gathering logs for them and troubleshooting; even being asked what I listen to when I wear them.  Ultimately, Apple wouldn't assist in any acceptable matter with this problem and wasted my money and my time.  I don't recommend at all.",1.0 out of 5 stars
Emanuel Gómez,"Make sure to purchase the Apple care protection plan, otherwise you will have to pay the consequences.At beginning, the product is amazing and everything works just as described. After nearly 2 years of usage, they will randomly disconnect from Bluetooth, the microphone is the worst; you can’t even record audios correctly, battery won’t last long. Most importantly, these are all well known defects this product has, which is why Apple always suggests to purchase the Apple care plan.Don’t buy unless you want to purchase AirPods every year and a half!",1.0 out of 5 stars
Tip your groomer,This is my second pair and whenever I use them the next day my ears have a clear liquid coming out of them! Didn’t happen with my last pair. I even bought the memory foam parts thinking maybe I was having a reaction the part touching my ears. I’ve stopped using them and now have no ear issues.,1.0 out of 5 stars
Amazon Customer,"Whenever I connect these airpods to my computer or phone they will stay connected for 30 seconds or so and then just randomly disconnect, and they won't reconnect to anything unless I reset them and forget them on all of my devices. I also always have a constant static sound whenever something isn't playing, no matter what mode of noise control I'm in. I've had the 1st gen air pods before and these are a major downgrade. Save your money.",1.0 out of 5 stars
joe1023,Worked good for a year now the right side doesn’t put out sound. Called customer service tried everything they asked now if I want to give them $90 I could have the right one replaced. I would suggest going with something else for the $230 price that might last longer than a year.,1.0 out of 5 stars
William T. Jackson,Takes on average about 7 or 8 attempts before it will connect to my phone. The little cushion piece keeps falling off. Won’t hold a charge. Bought a pair of beats. None of these problems occurred. Definitely don’t recommend the AirPods.,1.0 out of 5 stars
Austin Winstead,"After waiting for a month for these headphones to finally ship, today was the day they would arrive. Finally! But lo and behold, my package has been delayed INDEFINITELY. This is the third pair of headphones I’ve ordered on Amazon that I’ve had a huge problem with. Either they don’t work at all, have major sound quality and buzzing problems, or the shipment just can't be guaranteed.  If yall can’t keep accurate stock of a product, a reliable means for quality testing, or can’t maintain have the staff to fulfill orders, maybe it’s time to consider how you are failing people on all sides of this online monstrosity. God I hate buying things on Amazon. Lesson finally learned.",1.0 out of 5 stars
Sharon Guyton,"**!!** I discovered that Air Pods emit an extreme amount of radiation.  It’s the equivalent to putting your head in a running microwave while wearing them. Do your own research & you’ll be shocked as I was.  They’re convenient, work great but not worth cancer risk.",1.0 out of 5 stars
Amazon Customer,What makes the Air Pods Pro so awful is that they blast static noise in your ears every time you put them in your ears. Apple should be ashamed.,1.0 out of 5 stars
Ben Birchall,"They crackle , garbage product",1.0 out of 5 stars
Tom,First I received damaged AirPod pros then I received regular AirPods and haven’t been refunded even though I sent them back,1.0 out of 5 stars
jesse k.,junk only lasted a week and quit charging. buy new or from another refurbisher.  also shipping back is a pain wont give a label i have to wait at my house for ups to pick up!,1.0 out of 5 stars
Siclalith barrera,"Can’t hear clearly from AirPods,  they came out defective.",1.0 out of 5 stars
Omkar Sawant Bhosle,"Features are lucrative, but the ear fits are super uncomfortable. The plastic works far better. Even the other earphones I bought with these have ear fitting.",1.0 out of 5 stars
Joe,Took 45 minutes to get to work,1.0 out of 5 stars
Henil Satra,I don't think shifting to USB c type cable was a good choice. I liked the old lightning cable better. I also use an older iPhone so that same wire made more sense for me.,1.0 out of 5 stars
Divyam Jaggi,When I opened the Amazon box I saw the seal on the AirPods box was already opened and when I opened the box the AirPods didn’t worked and looked used this means Amazon is selling used products as new ones,1.0 out of 5 stars
Rida Sabirova,"It is not new, it wasn't correctly sealed, but it costs like new!!! The box is dirty and looks awful, and it wasn't even covered with protection in a huge box when delivered! It's a fraud",1.0 out of 5 stars
Shivkumar nizama,,1.0 out of 5 stars
Jesus F Galaz,"I have to preface this by saying I'm an Apple fan. Have been since about '91. Love their products and service and use them for day to day work. I've own a pair of 1st gen AirPods for the last few years and they've started losing their recharge capacity. I decoded to get a nice AirPods Pro 2nd gen to treat myself. The product itself was nicely packaged, had extra ear insert fittings and a USB-c cable.I wore them in trying our sound quality for a movie and the Spatial reproduction was astounding. You'd move your head and the direction of the sound kept with the source (TV).But when I work them for a Zoom meeting using the noise cancelling, I noticed something that I didn't think would bother me. I couldn't hear my own voice when talking. It wasn't completely drowned out but very muffled. Didn't like that at all since it threw my off my game.The second issue that arose was after about an hour of wearing them I could feel them pressing against the inside chamber of my ear in a way that was painful. I compared the size of the Airpod Pros tot holder model and they are so much bigger. Just want to make sure everyone is aware of this size difference and if  you have a smaller size ear chamber to borrow a friends before purchasing. I ended up returning and buying the regular AirPods 2nd gen.",2.0 out of 5 stars
Brennan,Hands down worst earbuds for working out. I’ve had many pairs of the different generation AirPods over the years because they’re the cool thing to get but I’m finally done with them. They fall out of your ears easy but that’s not even the worst part. God forbid you sweat in them a little bit because they’ll stop charging in their case. I even have the case for the case and the cleaning kit but it doesn’t matter. You’ll find yourself taking them out and putting them in over and over again trying to get the earbuds to connect to their case and start charging. Also you’ll forget about this major flaw and get to the gym just to open the case and have dead earbuds. Haven’t even had this set long and they’re already messed up. I don’t know if this is an issue without the sweat so if you don't intend to workout with them then they might be fine. But if you do then get a different brand.,2.0 out of 5 stars
Phillip,"Inexplicably disconnects for no reason. At least once a day. Sometimes once per hour. I’ve had it disconnect on me twice in the middle of a phone call! There’s no disputing the audio quality is great, I can give it a star for that, but if it can’t remain connected to the iPhone in my pocket with 99.9999999% uptime, it’s a crappy product.The weird thing is, my iPhone still shows it’s a connected device. I just can’t get my iPhone to play audio through it unless I turn off then turn on the Bluetooth, or until I plop the AirPods back in their case and then reinsert them into my ears. Not ideal when you’re exercising or trying to get chores done.Pretty surprisingly bad for an Apple product in an Apple ecosystem. I would recommend saving your money by buying any of the multitude of high quality Bluetooth headphones available.",2.0 out of 5 stars
Michael,"I've had more problems with the second generation in a couple months than I had with the first generation in two years. I use them for noise cancellation in a wood shop. Nothing crazy loud. They usually do fine, but if anyone uses an air nozzle to blow off their bench within 30 feet of me it blows up my ears with loud static. They've also had a har time with staying connected to my phone. Like if an alarm goes off on my phone while I'm listening to any audio it disconnects my headphones. This stuff didn't happen with my old headphones. Super annoying. I do however like being able to turn down the volume by lightly molesting my headphones, but again this is spotty and has created another issue where the headphones don't know if I'm trying to pause the music or just turn the volume down so it just does nothing.",2.0 out of 5 stars
Nicholas,"I got these to upgrade from my AirPod pro 1st gens. I have an iPhone 11 and these are not fully compatible. They do connect and I can talk, listen to music, etc. but I cannot have call waiting or hold conference calls with them. I had to stop using them and go back to my 1st gen ones until I upgrade my phone. I believe you need the 13 or newer to use them to their full capabilities.",2.0 out of 5 stars
Lance Blagg,Not sure what happened here...ordered these for my gf after I liked my pair so much. Somehow she got a different pair...different charger and noise cancellation barely works. We live in different states so I thought she was being dramatic when she said her noise cancelling wasn't much better than her old headphones...but then I tried them on this week when we visited and they just don't work. Now it's too late to return them unfortunately.,2.0 out of 5 stars
Caleb Warren,"At first, I loved these. The noise cancellation is crazy for earbuds, so good. But I bought these to replace a pair of 1st gen Apple AirPods that I used to run in. And while the sound quality is better, it doesn’t matter because these will not stay in my ears. The second I start sweating, they are about to pop out, and so my phone thinks I’m taking them out so the music pauses. It’s so frustrating, do NOT buy these if you have any intention of working out in them.",2.0 out of 5 stars
DL Pottery,The battery is constantly low or out of battery. Called Apple Supoort. She was very good about talking me through to reset it. But I had to reset it each day. This is my second set of AirPods so it’s not from not knowing how to use or reset it. She said it’s a software glitch but I think it’s a hardware issue.,2.0 out of 5 stars
We the people,Bought two of these thinking one was defective. Must just be a software issue that makes listening to music downloaded to Apple Watch unusable. Almost like it’s a connection issue but it’s not because my 12$ amazon copy’s work great and have better bass. The AirPods seem to work fine connected to the iPhone though. Apple support had no clue what was going on and kept asking basic troubleshooting questions but never touched on the actual issue.,2.0 out of 5 stars
Robert Leger,This arrived 10 minutes ago and the box was very damaged and it looks like it has already been opened. This was meant to be a gift and it looks like it was rolled in dirt.,2.0 out of 5 stars
Retroex,"The first gen airpods pro are still better than these, this is my second set, returned the first set, went back to it, and regret it.Maybe it is only in certain lines, voip, or something similar, but I get complaints weekly.Never had a single comment when using the first gen",2.0 out of 5 stars
Bill Hunt,The sounds is good. The noise cancellation is good but they just don’t fit as well as the old straight stem. I may have not paid extra if I had realized that. It also impacts the noise cancelling. The two ears don’t fit the same for my ears. My ears must be different sizes.,2.0 out of 5 stars
Doug,"Based on their reputation and cost I was expecting these to work well with the most common desktop meeting software. These don't, apparently never have, and perhaps never will. I won't know because I will return them in favor of either the Sony or Bose buds.The Amazon listing should make note of this problem.",2.0 out of 5 stars
taylor gaston,Sound good. Noise cancellation is cool. Only comes with a charge cable that won’t fit any charger unless you are an Apple nerd and have it all. For 250$ it’s inexcusable to not come with something to charge it with. Greedy ass corporation.,2.0 out of 5 stars
Jessie Liu,Battery is good and quality is good. Just don’t like the usb-c. Make me feel they just want me to spend more money.,2.0 out of 5 stars
Matthew D. Milburn,"Sound quality is good, not fantastic. There are better, cheaper earbuds out there. I purchased Apple Care + for my AirPods Pro 2 which specifically provides for Express Replacement Service of defective Air Pods so I would never be without my Air Pods 2 which I use for work calls  everyday. I spent 2.5 hours on web chat and the phone with Apple and my replacement was approved. I then received a call from a ""senior advisor"" that this option is no longer availible as of TODAY and that I would have to send in my AirPods Pro 2 for repair. When I look at my terms of warranty online AND enter my serial number it still says this express replacement service is available. After waiting on a significant hold time and then escalating it to a ""team level"" I was told they still offer this replacement service just not today, sorry. I asked for my Apple Care + to be refunded and was denied. I pay a significant premium over comparable brands to buy Apple products AND pay for their Apple Care service for peace of mind that I will not be without my devices. I highly recommend buying cheaper buds from another company that honors their expensive extended warranty. If you do buy AirPods, don't waste your money on Apple Care +.",2.0 out of 5 stars
Ruth M.,I was 14 months into my ownership with my Apple AirPods Pro and I noticed the right ear bud getting hot when charged then during the next use it did not work.  I went online to Apple support and after a very frustrating chat bot repeatedly kicked me to a self diagnosis then I finally got a human who basically said oh well there is nothing they will do.  NOT a great experience at all....  So at least you can count on them for a year then watch out,2.0 out of 5 stars
K.O.,"Bought a pair.  Loved them.  9 months in, the noise cancellation died.  Sadly, it didn’t just die though.  Instead it began making scratchy noises and getting in the way of listening.Apple replaced the item under warranty.  The new pair lasted about 4 months when they began exhibiting the same symptoms.Unfortunately, they were now out of warranty.  Apple said they would replace broken buds for $69ea.  Might as well buy new ones.A warranty is a great thing, but wouldn’t a better product that lasted be a better goal?  Makes me think of Chris Farley in Tommy Boy when he told his story about a guarantee.",2.0 out of 5 stars
Sameer K,they keep falling off your ears. generation 1 is better because it stays in your ears. generation 2 has gotten worse because it keeps popping out of your ears. very unsettling and a feeling of shock when it happens. apple has gone back on these. returned it back.,2.0 out of 5 stars
Lucas,"A little expensive, no deal at black Friday",2.0 out of 5 stars
Adam,"Apparently AirPod Pros are not fully compatible with iPhone models 11 and earlier.  For example, they won't show up in the ""findmy"" app,  the charge status does not display automatically when you open the case, and custom settings such as transparency get lost.  It took 3 consultations with Apple to figure this out :(Its back to the original AirPod (which I love) for this user.",2.0 out of 5 stars
Veronica G.,"You would think apple would design a better product but idk… the sound quality is very acceptable for me. They improved a bit, and all the processing it does with anc and transparency is quite impressive… so convient with iPhone and Mac. The anc is jaw dropping.. WHEN YOU ACTUALLY SHOVE THEM IN YOUR EARS AND GET A PROPER SEAL!The design is seriously atrocious, they look great but gravity wants these earbuds badly… 90% of the time they are actually on the floor!I do have odd shaping in my ears so I usually need foam tips or something around that line. Welp those don’t work either…. I ordered the foam masters for the gen 2s and they are actually worse than the stock ones. Can only get about 1-3 min of seal with the eartips supplied with the earbuds before they fall out. No bueno. At all. Makes me want to return them but everything else is so convenient about them. Hopefully the little bumpers I ordered will help keep them in my ears! Otherwise they r being returned. Maybe I’ll consider if they redesign them completely. Also the sound quality is very acceptable for me… but anything past 70% vol sounds atrocious, I guess that’s understandable.Lover volumes using Apple Music they sounds great and the spatial sounds very open and expansive, indeed like the sounds is coming from the phone with “iPhone tracked” (low to mid vol)  and fixed mode makes them sound like headphones. Very far and expansive I’m forgetting the term rn lol.",3.0 out of 5 stars
Bobbie,"I have owned a pair of basic AirPods lightning charging for several years, and they are starting to lose battery life. I never liked wired Apple headphones. They hurt my ears and would not stay in. The AirPods were basically flawless. I just wanted more on-bud controls and noise cancelling. Enter AirPods Pro. I was super excited to treat myself to upgraded headphones. I love my Bose QC45 over the ear for sound quality and noise cancelling, but as a glasses wearer, they hurt my ears and head so bad after a short time. After having the AirPods Pro for a few weeks, I can't help but feel a little sad that they will not stay in my ears. I am using the biggest silicone tips. They gradually work themselves out of my ear and fall off my head. This is just sitting at my desk. If I have a snack or eat lunch, they come out quicker. One thing that has helped somewhat is cleaning them and my ear canal with an alcohol wipe every day before use. I think everything is great about the AirPods Pro except for the fit. I didn't know there were other tips, so I guess I will search for foam to see if those will stay in my ears. So far, meeting attendees have told me my audio is perfect.",3.0 out of 5 stars
Jordan,"I really loved these earbuds. The hard plastic on the eartips that snaps onto the earbud is so ingenious. Personally, I don't like eartips because I need to hear my surroundings, but these eartips are so comfortable. You can wear them without the eartips, and they are just as great. One thing, though, is why did they choose the most slippery material, lmao?Now, the reason I returned these earbuds is because they are not Windows PC-friendly. I've tried everything from updating and changing drivers to almost every troubleshooting and CMD option out there. I even let a support agent take control of my PC to try to fix the problem, but nothing fixed the terrible audio glitching. It's so bad that the earbuds are unusable on Windows PCs.So, I really think Apple made the AirPods Pro 2 perform terribly on non-Apple devices on purpose. That is such a scummy tactic, and I hope the EU spanks Apple for it like they did for the charging port. Greedy company, but great hardware. Not a fan of the software, though.",3.0 out of 5 stars
Jean-Remy L.,"Having used lots of ANC headphones previously (OnePlus Buds Pro, Nothing Ear(1), Bose QC 35ii, Bose 7OO) I can tell you the pros and cons I see.Pros:- extremely lightweight and comfortable- great deal- audio on calls is excellent as is for musicCons:- strength of ANC is jarring- Adaptive Audio is quite poor, it sounds very similar to Transparency Mode. Would be better if it actually adapted to the amount of ambient noise- Ability to control how much ANC you want would be great- I’m use a variety of Apple products and didn’t find it to be a huge wow factor — my other earbuds work just as wellOverall, expected much more from these earphones. Would be more likely to recommend the OnePlus Buds Pro if you’re looking for ANC, app to control EQ & ANC strength, dual connection.",3.0 out of 5 stars
adam hurd,"Sound: 5/10. There is no comparison to a good iem in the same price bracket. It's okay, right in the middle of the pack for sound quality. Its vocal frequencies are better than its bass/treble.Utility: 10/10. Absolutely amazing active noise cancelling, pass through, and quality of life features.Fit: 7/10. They're light and comfortable, but fall out over time. I tried all the tips and some aftermarket ones. The stock tips are best. You'll need to adjust them every 30min to keep a good fit.For music, I'd never choose these.But I wear these more often than any other iem. The utility and ease of use makes up for its lack of sound quality. If you have an iOS device, it's a game changer.",3.0 out of 5 stars
imacuti,"Make sure that your AirPods are operating correctly before your 14 days are up with Amazon returns. I tried to return mine but they make you go through the process of troubleshooting it and then you have to contact them directly instead of just asking for a return. I’m disappointed in these ones. I had the AirPods Pro originals but I lost one so I had to get a new pair. These ones sounded like they would be great but they keep losing connection with my phone and the range isn’t as good as the other ones.  I don’t know if these particular ones have a problem or that happens with all of them, just thought I’d warn people about the return policy.",3.0 out of 5 stars
RBK,It’s for sure one of the top NC earbuds in market mainly for people in Apple ecosystem. There is lot of scope to make these earbuds reach out to different sizes of ears mainly small size. Just providing different sizes of ear tips would not help much mainly for small size ear like me. The plastic piece of the earbuds size makes my experience worse. All the surrounding of my ears feels tender pain by just wearing these earbuds for 15 mins. Even sound quality is not that great for this premium price point. Not sure if Apple even checks my review but I’m waiting for a redesign of these earbuds with little small earbuds size so that even small ear size people can have good experience. There are many reviews out there mentioned the same issue.,3.0 out of 5 stars
JMH921,"Bought these to replace my pair (same model) that I purchased a few months back and already lost. My original pair fit like a dream. These, not so much. The right side doesn’t have a snug fit, no matter which tip size I use. It just sticks out and eventually falls out. So either my ear significantly changed shape in the last 3 months or the right AirPod is not the same size as the left. I even tried tips from my old pair thinking it was the tips and nope! Defective ☹️",3.0 out of 5 stars
Marquita,"Sooooooo apple!I don’t have big large ear lobes! These things fall out my ear everytime. I only had them not even a month and I wanted to send them back. On a good note, the sound is amazing when they stay in my ears. I have changed alllll the bits and they still fall out. I did the fit test and neither works correctly.",3.0 out of 5 stars
Riley Berrey,"Definitely a solid product, however the noise cancelling was not as great as I thought it would be. I bought these for a quiet work environment, but I can still pretty much hear everything even with noise cancelling on. I’d recommend over the ear headphones if noise cancelling is something you care a lot about.",3.0 out of 5 stars
Adam,"I always have trouble with earbuds fitting well. These are no different. They do not fit well, I have tried all the inserts. The sound quality is pretty good, transparent mode works well. Because they don't fit well the sound quality is reduced and noise cancelling is reducedButtons on side of earbuds I did not like",3.0 out of 5 stars
Sharon McDaniel,"I've had several pairs of earbuds and there were things I liked and didn't like about them. So, I finally broke down and bought AirPods. I really like them for all their features, but the battery life sucks. I only wear one airpod at a time because the don't even last me through my work day otherwise.",3.0 out of 5 stars
Pert Falconer,"The price difference wasn’t that much at the time of purchase and I lost my first pair so I thought I should just buy the newer generation and I regret it, it’s not loud enough and the noise cancellation isn’t that great neither is the adaptive.",3.0 out of 5 stars
Grandao,"Love the sound quality for music, the noise cancellation is superb. For calls, however, it's horrible.  Very muffled, poor sound quality. Not sure why there'd be such a difference, I'm on an iPhone 15 pro max.Another complaint is these fall out of my ears if doing anything even remotely active.  Terrible for working out.",3.0 out of 5 stars
A.Johnson,"I just got these for work. I have to be in a call all shift and walk around the hospital, and they don’t even survive a 4hr shift unfortunately",3.0 out of 5 stars
Amanda Tilley,Can hear great with long lasting batteryI must have small eardrums because they don’t fit well and pop out and after a short time they start to hurt,3.0 out of 5 stars
J. Flynn,Love all the extras that apple provides like reading your texts but don’t like that they hurt my ears,3.0 out of 5 stars
Basilia Brown,"I didn't have a chance to try them out, they just didn't fit in my ears well so I returned them.",3.0 out of 5 stars
Bret Warren,"The media could not be loaded.
                



 I love AirPods Pro and bought these specifically to eliminate the Lightning Port from my life. I gave my father the existing pair of second generation AirPods Pro that I had. Anyway, there were dark scuff marks and shiny residue on my AirPods box. Everything inside the box was fine, but it's disappointing because I try to keep all of my packaging in great condition. This was in bad condition when I received it. As far as the actual product goes: five stars. The nice leather case I used with my lightning AirPods Pros still fits it perfectly, with plenty of room to insert a USB-C cord if needed.",3.0 out of 5 stars
Tracy,Grest job with the boys noise canceling,3.0 out of 5 stars
Slo az,Package was open,3.0 out of 5 stars
G,"First time received a used AirPods Pro and returned it with the promise to price match. After I received the second pair, everything works fine and was told only 10% discount is available. Why bother wasting your time and energy when you could just spend a little more money at apple store?",3.0 out of 5 stars
Agatha Yeung,"May be specific to me,  the AirPods won’t stay in ear and drop periodically. Unfortunately I lost the right side and had to pay $89+tax/shipping to replace it.",3.0 out of 5 stars
izzy,they are just ok and for the cost I wouldn't purchase it again. I wished I had realized buying on Prime Day the return period is way shorter otherwise I would have returned them.,3.0 out of 5 stars
Bob,"Sound quality is much better than the original AirPods. However, connectivity issues drive you crazy. Dropped connections are irritating. This is an ongoing issue w/ios17",3.0 out of 5 stars
San Mar,"I was previously using Bose Quietcomfort earbuds. I purchased the AirPods Pro just for the convenience of having all of my devices connected and for tracking. In terms of sound quality, Bose is the superior one. AirPods do not even compare",3.0 out of 5 stars
Kent S,"Right out the box, my AirPods have a smell that I thought would wear off but seems to linger still and it’s been a few days. Hope it wears off because it’s rather unpleasant.",3.0 out of 5 stars
Suzida1,"I dislike that there is a charger cord with nothing to plug-in!!! Ridiculous and absolute crap for the price we are paying!!! Put a plug-in for god sake, like you’re not making enough money?!",3.0 out of 5 stars
Hipolito g.,Se caen de mi orejas no ajustan lo suficiente,3.0 out of 5 stars
Josh,"Good audio, great connectivity options, but the left one falls out all the time even with the largest tip. They just don’t fit.",3.0 out of 5 stars
kathleenk,"Just setting these up and see that the charging cable is a C at both ends - you'd think with spending this much money, you'd get a cord that's actually useful and not have to buy something else!!",3.0 out of 5 stars
Iamgroot,"Ahh finally I can review these things. Old pair was stolen so replacing them which will get me rolling into the negatives of the review.Bad-The findmy app is GARBAGE when locating or letting you know it’s been left behind. This is only for the airpods(pods and case).  -AirTags, my iPad everything else it works perfect but they dropped the ball on the most lost item for some reason. Often times they do not connect when in findmy until the case is opened up(really helpful when you can’t find them(sarcasm)) they don’t have the hot/cold function every other item has where it shows distance from, the sound is barely if audible at all (when it can actually connect)The good-They function well for their primary purpose as headphones, noise canceling is wonderful, the mic is decent.",3.0 out of 5 stars
Davido,"I’ve bought two of these over the last four years. They start off great, with wonderful sound quality and descent noise-cancelation. But over time (about 6 months with my latest pair) they decline in both bass output and noise-cancelation.  I’ve tried all the remedies offered by Apple, but nothing has worked on both AirPods I’ve purchased.",3.0 out of 5 stars
vayz,"If you are on Android then you can't update your Airpods, check battery life or use tracking.If you are on iOS then this is the perfect earbuds for you.",3.0 out of 5 stars
